date,price
1524805800,9215.0
1524806100,9200.0
1524806400,9198.0
1524806700,9198.00000106
1524807000,9204.43
1524807300,9201.04443507
1524807600,9202.0
1524807900,9179.82017994
1524808200,9191.42946231
1524808500,9171.87265082
1524808800,9209.90907599
1524809100,9183.74963101
1524809400,9220.0
1524809700,9220.04443481
1524810000,9239.68
1524810300,9238.99999865
1524810600,9239.41650022
1524810900,9250.0
1524811200,9243.73373834
1524811500,9228.0
1524811800,9220.22217408
1524812100,9246.30510563
1524812400,9244.85113533
1524812700,9226.52427198
1524813000,9225.00000014
1524813300,9220.0
1524813600,9220.0
1524813900,9208.24694156
1524814200,9202.19900186
1524814500,9210.2
1524814800,9233.0
1524815100,9220.31556083
1524815400,9220.31556083
1524815700,9227.138
1524816000,9230.0
1524816300,9258.00000013
1524816600,9265.39300001
1524816900,9269.9999997
1524817200,9269.0
1524817500,9263.0
1524817800,9267.0
1524818100,9267.69999999
1524818400,9234.60582055
1524818700,9250.0
1524819000,9250.09297892
1524819300,9258.67257219
1524819600,9249.24535923
1524819900,9263.0
1524820200,9250.04649004
1524820500,9267.91112723
1524820800,9273.21525876
1524821100,9273.16428844
1524821400,9252.02427199
1524821700,9288.37071037
1524822000,9352.0
1524822300,9354.50885347
1524822600,9367.0
1524822900,9361.0
1524823200,9321.12
1524823500,9321.12000069
1524823800,9340.82098147
1524824100,9350.0000006
1524824400,9350.12
1524824700,9350.0
1524825000,9351.64835212
1524825300,9351.00000001
1524825600,9380.00000017
1524825900,9367.25221717
1524826200,9361.0
1524826500,9351.14443609
1524826800,9350.61000005
1524827100,9351.0
1524827400,9358.0
1524827700,9335.50005431
1524828000,9325.00000004
1524828300,9335.56670701
1524828600,9342.97778258
1524828900,9320.28849105
1524829200,9305.06673826
1524829500,9303.0000003
1524829800,9320.36605984
1524830100,9300.0
1524830400,9321.84447752
1524830700,9320.5
1524831000,9326.43170625
1524831300,9330.66433566
1524831600,9331.0
1524831900,9334.0
1524832200,9322.00000001
1524832500,9331.00000001
1524832800,9325.0
1524833100,9315.29470529
1524833400,9279.97572819
